ID,Title,Bias
28697,Nuclear Option: The Speech-Democrats Reveal Contempt for Military During Trump Address - Breitbart,Right
28766,Democratic Bayonne Mayor Faces Sexting Scandal - Breitbart,Left
28786,Spicer Challenges Democratic Leaders to Denounce Protesters Disrupting Hearing - Breitbart,Right
28789,MILO: The Difference Between Conservatives and Democrats is We Dont Think the Working Class is Evil - Breitbart,Right
28791,Dallas Democrats Fret over Threat of ‘Voter Fraud,Right
28961,Republican Party Targets Four California Democrats in 2018 - Breitbart,Right
28988,"Blue State Blues: South Africas Democratic Experiment, in Crisis - Breitbart",Right
28992,Donald Trump Mocks Resist Democrats at Obamacare Meeting with Senate Republicans,Neutral
29007,Democratic Socialists of America Triples Membership Since Trump - Breitbart,Right
29062,Democrats Facing Elections Refusing to Hold Town Hall Meetings,Right
29067,"FBI, IRS Raid Texas Democrat State Senators Law Office",Right
29117,"CBS Poll: Two-Thirds of Democrats Say Islam, Christianity Equally Violent - Breitbart",Right
29246,"Reports: Prominent Democratic Leader, Bill de Blasio Staffer Arrested on Child Pornography Charges - Breitbart",Right
29247,Blank Book Titled Reasons to Vote for Democrats Tops Amazon Bestseller List,Left
29304,Howard Dean: We Have to Completely Change the Way We Approach Race in This Country as Democrats and as a Nation - Breitbart,Left
29315,"Bernie Sanders: Extraordinary That Trump Took On Democrat, Republican, and Media Establishment",Right
29349,"Democrats Hoped to Hurt Trump, but Raised Suspicions of Obama - Breitbart",Right
29359,California Democrat Who Cheered Turkey Coup Wants to Impeach Trump - Breitbart,Right
29364,Schumer: Democrats Will Attempt to Filibuster Gorsuch,Neutral
29367,Wall Street Journal: Democrats Trying to Squelch Susan Rice Unmasking Story - Breitbart,Right
29440,Conway: Were Seeing Hysterical Democratic Party Unravel in Front of Our Eyes - Breitbart,Right
29487,How the #Resistance Could Win the House for Democrats in 2018 - Breitbart,Left
29504,Barbara Boxer Urges Democrats to Follow Meryl Streeps Lead,Left
29569,"Terrorists Will Lie, So Border Officials Should Not Ask About Their Beliefs, Says Top Democrat - Breitbart",Right
29603,Sanders: The Model of Democratic Party Is Failing - Breitbart,Right
29662,Second Amendment Foundation: Alexandria Shooting the Result of Democratic Hate Speech - Breitbart,Right
29680,Caddell: Democrat Hypocrisy on Comey Enough to Choke a Horse,Right
29707,DeepStateGate: Democrats Russia Conspiracy Theory Backfires,Left
29757,Blue State Blues: Why Do Democrats Undermine Latino Leaders?,Right
29785,Creator of Fake News Website to Donate Ad Revenue to Democrats - Breitbart,Right
29860,Kris Kobach: Democrats Already Attacking Election Integrity Commission,Right
29875,Donald Trump: Chuck Schumer Leading Democrats to Doom - Breitbart,Right
29883,California Democratic Party Leader Leads F*ck Donald Trump Chant at Convention - Breitbart,Right
29948,Limbaugh: Democratic Party Has Become the Largest Hate Group in This Country - Breitbart,Right
30023,Democrat on House Intel Committee to Question Flynn over Russia,Left
30055,Despite Democrat Obstruction U.S. Senate Confirms Mike Pompeo as Next Director of CIA - Breitbart,Right
30069,Democrats: Trump Stole Neil Gorsuch Seat from Obama - Breitbart,Right
30145,Democrat Party the ‘Handmaid of the Abortion Industry - Breitbart,Right
30163,"Obama, Democratic Leaders to Plan Last Ditch Effort to Save Obamacare - Breitbart",Right
30166,Here are the Democrats Who are Skipping Trumps Inauguration - Breitbart,Right
30212,Minnesota Democrat Pushes $200K in Annual Taxpayer Gifts for Gun Control Groups,Left
30243,CNN: Democrats Face Their Powerlessness - Breitbart,Right
30321,Kamala Harris-Leftist Senator From California and Next Democratic Star - Breitbart,Left
30342,"Jerusalem Unity Day: Republicans, Democrats Join Forces To Celebrate Israels Eternal Capital - Breitbart",Neutral
30574,James Comeys Democrat Critics Now See Russian Conspiracy in Trumps Firing,Left
30616,Anti-Abortion Democrat Candidate Defeated in Election for Mayor of Omaha - Breitbart,Right
30631,FULL TEXT: MILO on why the Democrats Lost the White Working Class - Breitbart,Right
30640,McConnell: Whether I Have to Use Nuclear Option on Gorsuch Will Depend on the Democrats - Breitbart,Right
30656,Exclusive-Sen. Richard Shelby: Democrats Did Not Lay a Glove on Jeff Sessions - Breitbart,Right
30685,Democrats Drag Out Jeff Sessions Confirmation Fight - Breitbart,Right
30696,New York Democrat Pressures CUNY over Hosting Pro-Sharia BDS Activist Linda Sarsour,Neutral
30709,Jeff Landry: Sessions Testimony Showed Russia Investigation Is Witch Hunt Dreamed Up by Democrats,Right
30710,Samantha Bee: Democrats Suck at Voting - Breitbart,Right
30752,Survey: Democrats Rally Behind Fake News Industry  - Breitbart,Right
30760,California Democrats Propose In-State Tuition for Refugees - Breitbart,Left
30830,Bernie Sanders: Trump Won Because Democrats Are Out of Touch - Breitbart,Right
30833,Robert Reich: The Democratic Party Has Not Been in This Bad Shape Since the 1920s - Breitbart,Right
30869,Donna Brazile: Democrats Are Not Overreaching With Russia-Trump Questions - Breitbart,Left
31035,Limbaugh: Were Watching a Silent Coup Put in Place By Obama and the Democrats - Breitbart,Right
31056,Poll: Most Voters Have Not Heard of Democratic 2020 Election Candidates - Breitbart,Right
31066,RESIST!: Democrats Turn Ideas Conference into Republican Hatefest,Right
31161,NRA to Campaign Against Red State Democrats who Oppose Gorsuch - Breitbart,Right
31171,House Democrats Conceal 2016 Election Autopsy from Public - Breitbart,Right
31175,"Fake News: CNN Tweet Mislabels Photo, Saying Only Democrats Knelt in Prayer at Congressional Baseball Game",Right
31258,"Cher: Old, Out-of-Touch Democrats F*cked Up the 2016 Election",Right
31329,"Broken Democratic Partys New Message: Donald Trump is the ‘Establishment, Not Really ‘Populist",Right
31387,"The Nuclear Option - Gorsuch Hearings Begin: Democrats Ensure Long, Putrid Week on Potomac - Breitbart",Right
31391,NYTs Peters: Lot of Frustration Among Democratic Sens Who Think Its Shortsighted to Filibuster Gorsuch - Breitbart,Right
31431,Democrats React to President Trumps Retaliatory Strike on Syrias Use of Chemical Weapons - Breitbart,Right
31440,New Poll Shows Democrat with 7 Point Lead in Georgia Special Congressional Election - Breitbart,Neutral
31461,Limbaugh: Fantasy of Trump Working With Democrats Will End When Gorsuch Confirmation Is Filibustered - Breitbart,Right
31534,It Begins! Ten Kushner Scandals: Media Ramp Up Attacks on Presidents Democrat Manhattanite Son-in-Law,Neutral
31544,"Democrats to Bring DREAMers, Muslims to Trumps First Speech to Congress",Left
31559,"Maher: When GOP Goes Low, Democrats Should Kick Them in the Nuts - Breitbart",Right
31561,Liberal Democrat Leader Branded Bigot for Refusing to Endorse Gay Sex,Right
31574,Jackie Mason: Democrats Still Trying to Overturn Honest Election,Right
31587,OReilly on Sessions Saga: Democrat Hypocrisy Is on Full Display - Breitbart,Right
31704,Exclusive Video - Jackie Mason: Do the Democrats Need Proof for Any Claim They Make? - Breitbart,Right
31705,WSJ: White House Opens Door to Democrats in Wake of Health Bill Failure - Breitbart,Right
31717,Democrats to Kick-Off Resistance Summer to Trump with ‘House Parties Featuring Keith Ellison,Left
31720,"Trump Tweets: Democrats Help MS-13, Heroin Smugglers by Opposing Border Wall - Breitbart",Right
31731,Carlson: Trump-Russia Hoax an Effort to Topple a Democratically Elected Government the D.C. Permanent Class Doesnt Like - Breitbart,Right
31787,"Pelosi on Shooting: On Days Like Today, There are no Democrats or Republicans - Breitbart",Right
31801,Tea Party of the Left: Democrats Plan Nationwide Tax Marches to Demand Trump Tax Returns,Left
31826,"Democrats Warn Trump Congress Will Begin Impeachment Proceedings If He Fires Mueller, Rosenstein",Neutral
31829,Conservative Watchdog Group Requests Investigation Into Top House Intel Democrats - Breitbart,Right
31855,GOP Leaders May Drop Wall Funding to Win Democratic Approval for Other Priorities - Breitbart,Right
31875,"Democrat Sherrod Brown Under Fire for Inaccurate Claim that Breitbart, Bannon, Gorka Anti-Semitic - Breitbart",Right
31889,Unpopular Gas Tax Could Hurt California Democrats in 2018 - Breitbart,Left
31971,Democrats Reel from DNC Chairs Announcement That Party Will Exclude Pro-Life Candidates,Right
32042,Can California Democrats Take out McCarthy Over Health Care Vote? - Breitbart,Right
32085,Ted Cruz: ‘The Democrats Are the Party of the Ku Klux Klan,Right
32095,"Democrats Invoke 25th Amendment, Question Trumps Mental Health",Left
32106,"Senate Democrats Give Up Delay Tactics, Confirm Rick Perry for Energy Sec. 67-32 - Breitbart",Right
32200,Paul Ryan: House Republicans Might Force Donald Trump to Work With Democrats on Health Care,Left
32275,Democrats Try to Cool Trump Impeachment Talk - Breitbart,Right
32290,Lt. Gov. Michael Steele: Democrats Continue to Alienate Voters,Right
32404,Democratic Rep. Richmond: Kellyanne Conway Looked Familiar Kneeling on Oval Office Couch,Left
32452,Exclusive - House Democrat Whip Steny Hoyer: GOP Congressmen Lose Whether AHCA Passes or Fails,Neutral
32528,Texas Democrat Proposes Law to Fine Men for Masturbation,Right
32572,"Democratic Party Is Losing Its Moderate Members, Says Gallup - Breitbart",Right
32591,Maher: I Want Democrats to Say Youre Either With Us or With the Russians - Breitbart,Right
32603,Trumps America First Budget Puts CA Democrat Priorities Last - Breitbart,Right
32661,Exclusive—Regnery: Anti-Trump Democrats Best Allies Are Senate Republicans - Breitbart,Right
32725,In Search of a Star: Desperate Democrats Turn to Losing Candidate Under Age 40 - Breitbart,Right
32793,Camille Paglia Predicts Trump Reelection: Democrats Have Overplayed Their Hand,Right
32825,Polls Open in Germany Local Elections as Social Democrats Attempt to Challenge Merkel Power,Right
32857,Democrats Face Long Odds of Taking the House Back in 2018 - Breitbart,Right
32874,"Kathy Griffin: Democratic Politicians Take Her Donations, Silent About Video - Breitbart",Right
32915,One California Democrat Admits Hes Tired of Trashing Trump,Right
32925,**Georgia Special Election Livewire** Democrat Ossoff Versus Republican Handel - Breitbart,Neutral
32940,Robert Barnes: Democrats Overlooked Clinton Perjury but Launched Neo-McCarthyite HUAC Times Ten Attack on Sessions,Right
32968,Democrat Civil War: Anybody Who Gives Money to [David Brock] Is Pissing Down a Rat Hole.,Left
32994,"Kimberley Strassel: Democrats Gin Up Fake Outrage Against Nunes, Ignore His Evidence That Obama Spied on Trump",Right
32996,The Amazing Democrat U-Turn on the Firing of James Comey - Breitbart,Right
33030,Tancredo on Sessions Flap: Democrats Ferocious Malevolence Matched by Congressional Republicans Cowardice - Breitbart,Right
33035,It Is Over: Joe Biden Shuts Down Democrats Electoral College Challenge to Trump - Breitbart,Left
33147,"Democrats Love Ivanka Trumps Child Care, Paid Family Leave Plan",Right
33148,America Rising PAC Releases Ad Highlighting Democratic Partys Race to the Bottom - Breitbart,Right
33166,Schumer: I Wish Democrats Hadnt Triggered the Nuclear Option - Breitbart,Right
33174,Democrat Megadonor Tom Steyer Considers Running for Governor - Breitbart,Left
33184,Senate Democrats Ignore Frantic Pleas from House Dems as Objections to Trump Victory Fizzle - Breitbart,Left
33195,Mulvaney: Democrats Obstructionism on Border Wall Stunning - Breitbart,Right
33249,New Poll: Tie in Georgias Sixth Congressional District Special Election Despite $23 Million Raised by Democrat,Right
33277,New Mexico Democrats Undertake Last Ditch Effort to Ban Private Gun Sales - Breitbart,Right
33474,DNC Chair Calls for Abortion Rights Litmus Test for Democrats,Left
33479,"MILO Warns Bill Maher: Democrats Are Party of Lena Dunham, Mental, Hideous People - Breitbart",Right
33615,"ESPNs Leftward Lurch Explained: Disney CEO May Run for Democrat Nomination, Using Network to Curry Favor with Leftists - Breitbart",Right
33654,Glenn Thrush: My Inbox Is Flooded By Democrats Saying Ossoff Was a Terrible Candidate - Breitbart,Right
33657,Top House Intel Democrat Rejects Call to Recuse Himself from Russia Probe - Breitbart,Right
33786,Donald Trump Wants to ‘Make A Deal With Senate Democrats on Health Care,Right
33826,Democrat Lawmakers Low Expectations for Trumps Overseas Trip: No International Crisis or War,Left
33876,Donald Trumps Justice Department Nominees Shrug Off Democratic Demands for Special Prosecutor - Breitbart,Right
33879,"Sean Spicer: Media Cheering On Democrats, Disrespects President-elect Trump - Breitbart",Right
33912,"Exclusive — Bernie Sanders, Other Top Democrats Refuse to Condemn Supporter FBI Alleges Made Anti-Semitic Threats Nationwide - Breitbart",Right
33914,Democrats Target Nunes After He Reveals Trump Transition Team Was Surveilled,Right
34063,"Blue State Blues: After Montana, What If Democrats Are in Trouble in 2018? - Breitbart",Right
34064,"Two More GOP Representatives Step Up, Remove Democrats Anti-Cop Painting from Wall - Breitbart",Right
34082,Report: Evergreen State College Faculty Donate Overwhelmingly to Democrats - Breitbart,Right
34101,Schumer: Trumps Border Wall Wont Get the Votes on Either the Democratic or Republican Side - Breitbart,Left
34128,Silicon Valley Democrats Plot Effort to Save Net Neutrality - Breitbart,Right
34192,Megyn Kelly Advances 4 Democratic Conspiracy Theories in Putin Interview - Breitbart,Right
34202,"Exclusive — Donald Trump Plans To Continue GOP Legacy Of Leading On Womens, Civil Rights Against Racist, Sexist Democrats - Breitbart",Right
34254,Idependent: Why Hillary Clinton Could Lose the Democratic Nomination to Bernie Sanders - Breitbart,Right
34300,Democrats Filibuster for Background Checks on Private Gun Sales,Left
34402,Texas New Black Panther Party Leader: Blacks ‘Are Being Pimped Like Prostitutes by Democrats,Left
34414,The Hill: Democrat Blame Game Rages over Clinton Loss - Breitbart,Right
34521,Report: 15 Potential Democratic Candidates for President Against Trump in 2020 - Breitbart,Right
34538,Democratic Sen. Joe Manchin Announces Support for Jeff Sessions as Attorney General - Breitbart,Left
34637,Trump Helping Women and Gays Escape from the Democratic Plantation - Breitbart,Right
34793,Final Democrat Poll: Hillary Clinton Struggles Against Bernie Surge - Breitbart,Left
34800,Democrats Get Nasty: Bernie Sanders Brawls with Hillary Clinton Before New York Primary - Breitbart,Right
34931,The Hill: Democrats Target Gary Johnson as Third Party Spoiler - Breitbart,Right
34974,FLASHBACK- Washington Post in 2014: Non-Citizen Voting Gave Democrats 60th Vote for Obamacare - Breitbart,Right
35019,"Brzezinski Rips Hypocrisy of Democrats: Comey Was a Great, Credible Man a Week Ago - Breitbart",Right
35145,Democrats Hope Convention Star Power Dazzles America Into Voting Hillary - Breitbart,Right
35254,"Trump Taunts Democrats in Virginia: Debbie, Youre Fired! - Breitbart",Left
35323,"Sanders: Democrats Lost Elections Because They Focused On Liberal Elite, Not Working Class - Breitbart",Neutral
35401,Bernie Sanders Carries Palestinian Cause into Democratic Fight,Right
35466,"Perhaps Now, Gays Will Finally Stop Voting Democrat",Right
35480,Democrat Party Sweeps Aside Progressive Grassroots - Breitbart,Right
35570,"Pastor Mark Burns: Trump Going to the Black Community to Solve Problems, Not Say ‘See You in Four Years Like Democrats - Breitbart",Right
35653,Sen. Murphy: Democrats Should Politicize Mass Shootings Within an Hour of Occurrence - Breitbart,Left
35661,Bernie on Winning the White House as a Socialist: Democratic Party Needs Major Reform - Breitbart,Right
35700,Democrat Strategist Wonders if Hillary Will Sound Human with Enough Practice - Breitbart,Left
35708,Super Bowl Champion Burgess Owens: White Progressive Democrats ‘Programming Blacks - Breitbart,Right
35731,Keith Ellison: Bernie Has Made Democrats Greater than Ever - Breitbart,Right
35866,Pamela Anderson Subway Ad Rebuked By New York Democrat for Misogynistic Imagery - Breitbart,Left
36061,"Cruz: Trump Campaign Has Consistent Pattern of Inciting Violence, Like Democratic Union Thugs - Breitbart",Right
36134,Sheriff David Clarke on Jailbreak Bill: Democrats Have Always Been Pro-Criminal GOP Elites like Paul Ryan ‘in Bed with This Sleazy Movement,Right
36147,Dinesh DSouza: Democratic Party Like A Criminal Gang Seeking Wealth And Power - Breitbart,Right
36210,Democratic Congressman: Clinton Foundation Should Be Cut Off - Breitbart,Right
36257,Van Jones: There Is a ‘Civil War in the Democratic Party - Breitbart,Right
36265,Sweden Democrats Proposes Negative Immigration As National Population Experiences Record Growth,Right
36302,"Brand Battle: Hillary Clintons Reputation Down With Democrats, While Trump Gains with Republicans - Breitbart",Right
36452,Meet the ‘Trumpocrats: Lifelong Democrats Breaking with Party Over Hillary Clinton to Support Donald Trump for President - Breitbart,Right
36494,Obama Plans to Develop a Whole New Generation of Democratic Talent - Breitbart,Left
36512,Snoop Dogg Invites Democrats to Get F*cked Up at Post-DNC Unity Party - Breitbart,Right
36533,"AWR Hawkins: Democrats Use Emotion, Denial, and Shame to Get You to Move Against the Second Amendment - Breitbart",Right
36626,Donald Trump and Barack Obama: Proof Republicans and Democrats Live on Different Planets - Breitbart,Neutral
36661,"Report: Democrats Lost More than 1,000 Seats Under Obama - Breitbart",Right
36679,"New Democrat Brainstorm: Forgive Student Loan Debt, So the Kids Can Take Out Mortgages - Breitbart",Right
36929,J Street Pushes Bernie Sanders Call For More Pro-Palestinian Democratic Platform,Right
37038,"Exclusive Data Analysis: Democrat Turnout Collapses Down More Than 4.5 Million, Nearly 20 Percent In 2016 Versus 2008 - Breitbart",Right
37044,Democrat-Run Cities Push Plans to Let Non-Citizens Vote - Breitbart,Right
37105,House Democrats Re-Elect Nancy Pelosi as Leader - Breitbart,Neutral
37349,"They Dont Make Russians Like They Used to (for Democrats, at Least) - Breitbart",Right
37361,Black Leaders to Their Voters: ‘We Wont Allow Ourselves to Be Used by Democratic Party - Breitbart,Right
37396,"Whether Its John McCain, Mitt Romney or Donald Trump, Democrats Always Run ‘War on Women Campaign - Breitbart",Right
37410,Black Democrat: ‘No People of Color at Donald Trump Rallies,Left
37448,Democrat Senator Cory Booker Criticizes Reaction to Colin Kaepernicks Anthem Protest - Breitbart,Right
37468,Farage: The West Needs A Democratic Renaissance To Put The People Back In Charge,Left
37497,Ted Cruzs SCOTUS Pick Gave to Democrats in 2008,Left
37651,"Trumpocrats to Tour Rust Belt, Energize Democrats for Trump Against Hillary - Breitbart",Right
37710,Democrats Boo Leon Panetta for Saying Islamic State Must Be Stopped,Neutral
37733,"Democratic Senators Stall CR, Force Federal Government into Weekend Shutdown",Right
37795,The Democrats Are Officially the Anti-Israel Party - Breitbart,Right
37858,Black Men for Bernie Founder to End Democrat Political Slavery of Minorities,Left
37861,Rape-Hoaxer Lena Dunham to Speak at Star-Studded Democratic National Convention - Breitbart,Right
37893,Katrina Pierson: Bernie Sanders Supporters Sending Me Messages They Will Back Donald Trump If Hillary Clinton Steals the Democratic Nomination - Breitbart,Right
38210,"Flints Water a Recurring, Democrat Problem - Breitbart",Right
38214,"Dem Rep Cleaver: We Have No Strategy, Without Younger Leadership, Democratic Caucus Wont Exist - Breitbart",Right
38240,Congressional Democrats And Republicans Flock To Cuba With Obama - Breitbart,Neutral
38444,Democrat Civil War: Progressives Target Potential Clinton Veep Julian Castro - Breitbart,Right
38462,Bruce Springsteen: Trump Threatens Entire Democratic Process,Left
